|spam_text|counts
0|🥰НОВИНКИ В НАЯВНОСТІ🥰|153
1|🥰НОВИНКИ В НАЯВНОСТІ 🥰|102
2|🥰НОВИНКИ В НАЯВНОСТІ ✅|100
3|Мир песен — Тексты песен и аккорды|83
4|Играем в БЛОКАДУ вместе!|73
5|Запитай мене   ask.fm/sashok9070|70
6|Доброе утро!|55
7|Для просмотра нужно войти или зарегистрироваться|46
8|Смотри какое классное видео у меня получилось! Попробуй и ты - это легко!|41
9|Задай мне вопрос   ask.fm/id42454226|37
10|Бой кукол|36
11|Когда-то я создала эту страницу для своей собаки, но теперь она сама зарегистрировалась.|35
12|Запитай мене   ask.fm/id141173109|31
13|Добавь Мяты в смартфон - myata.me|31
14|😎😎😎Крутая кожа демисезон😎😎😎  В НАЛИЧИИ !!❤|29
15|Отжал очередной райончик, чот нет нормальных конкурентов в округе!|29
16|Не каждому под силу найти все отличия на двух картинках. Думаешь, сможешь?|28
17|Когда-то я создал эту страницу для своей собаки, но теперь она сама зарегистрировалась.|28
18|#НайдиСлова - новая отличная словесная игра! Поиск слов из набора букв. Тренирует ум и не дает заскучать!  Скачать на Android -> https://vk.cc/6EfFQC Скачать на iPhone -> https://vk.cc/6JXyvg  Следите за [club147138514 нашей группой]! Создано командой [club63166775 OpenMyGame]|28
19|поделился(-лась) ответом с ASKfm|25
20|💣💣💣 Это бомба 💣💣💣  В НАЛИЧИИ 😍|25
21|🛍🛍🛍Любимые туфельки 🛍🛍😘  Успей купить 😘💃|23
22|"пол года бесплатного интернета!!!  от ООО ""INTERZET"" на сайте http://skidki50.vipshop.ru/."|22
23|ПОБЕДА! В нелёгком бою, мной одержана мастерская победа над войсками другого игрока! За победу была получена хорошая награда! Кликни по ссылке, чтобы получить награду.|22
24|Новый паблик про постапокалипсис и все что с ним связано. Все, кто не равнодушен к жанру — вступаем!|22
25|[club22987301 Вот это прикол   Вступайте],|21
26|"Фестиваль Красоты ""НЕВСКИЕ БЕРЕГА"" СКК.Питер сентябрь 2016."|21
27|ПАРК - здесь живут смартфоны!|21
28|Взгляни, какой очаровательный наряд! Все наряды можно посмотреть в моем альбоме!|20
29|Вашему другу очень нужны некоторые предметы|20
30|Наслаждайя Классической MOBA на Мобильном. Играй с Топ-Игроками По Всему Миру!|20
31|#LIKEapp °Μυχαμμαdζοη° ведет трансляцию Magic Live, присоединяйся скорей!http://s.likee.video/sid/910057091?b=734717404&c=vk&l=ru-RU|20
32|Я получил новый уровень в [club71223946 Физруке].|19
34|"Мне нужны конфеты для продолжения игры в ""Папины дочки""! Установите игру и отправьте мне подарочную конфету через ленту друзей!"|19
35|добавил желание.|19
36|Найти все отличия на картинках не так то просто! Не веришь? – Зайди и попробуй!|19
38|Снимок из игры Тракторист|18
39|новый номер аськи 553960332.|18
41|Европейской качество по доступным ценам. Заказывайте)))))см в альбоме|17
43|"Фрагмент Фестиваля Красоты ""Невские Берега"" 2017."|17
44|Шапочки з мохера по 350 грн 🎀👌  В'яжу на замовлення)    Палітру кольрів скидаю в приват 🌈  P.S. Зима близько:)|17
45|[club32194285 Bon App&amp;#233;tit   Лучшие рецепты],|16
46|Энергия даром! Я отдаю кофейную чашку бесплатно первой попросившей!|16
47|Запитай мене   ask.fm/irina339|16
48|Редактирование образования|16
50|Дада премиум комфорт фит 205грн|15
51|новый год 2015|15
52|Бытовая химия европейского качества по доступным ценам, без вреда для здоровья Вас и Ваших дитей.Все в наличии, бесплатная доставка))смотрите весь товар в альбоме!!!|15
53|"Фрагмент мюзикла ""МАСТЕР и МАРГАРИТА"""|15
54|🔥🔥СУПЕР ЗНИЖКА🔥🔥НОВА ЦІНА 300 грн🔥🔥 Платье Ткань-парча Размер единый Длина 90см Платье с карманами стара ціна 370 грн|15
56|Безфосфатная продукция с Польши и Германии, все в наличии, бесплатная доставка ))))см альбом|14
57|Новый паблик про постапокалипсис и все что с ним связано. Все, кто не равнодушен к жанру — вступаем|14
58|Друзья, осмелитесь принять мой вызов? Завершил 5 серийных побед сегодня.|14
59|"Премьера оперы Доницетти-""ЛЮБОВНЫЙ НАПИТОК"" в постановке Юрия Александрова , на сцене Театра ""САНКТЪ-ПЕТЕРБУРГЪ ОПЕРА""."|14
60|Продукция с Польши и Германии, оригинальная, качественная,доступная и безопасная для Вас и дитей))|14
61|❤❤❤В НАЛИЧИИ❤❤❤ В НАЛИЧИИ❤❤❤|14
62|Задай мне вопрос   ask.fm/id195873142|13
63|"Фрагмент показа на Фестивале Красоты ""Невские Берега"" 2015"|13
64|Ура! Я победила в игре Свадьба по любви! Попробуй, обгони меня!|13
65|Интернет + Система Успех Вместе = доход от 1000$. прямой эфир в 14:00 и 19:30 Москвы научим,обучим,продвинем по карьерной лестнице.Без инвестиций,Без риска!!!! »http://comanda.st10.su/15 « Просто займи бесплатно позицию http://Alexej.BAPowerline.com/ Лучше действуйте и побеждайте :http://comanda.as9.tv/welcome Skype:Alexej1076|13
66|Я открыла новый подарок: Пиво|13
67|В наявності у м.Луцьк_маломір_40_ціна 195 грн🔥🔥🌿🌷|13
68|#лето #отпуск #сочи #розахутор #горы |13
69|Я победила в соревнованиях и перехожу в более крутую лигу|13
70|Free Fire это лучшая Королевская Битва для мобильных телефонов|13
71|добавляйтесь ко мне в группу http://vkontlalkte.ru/club460389/.|12
72|В НАЛИЧИИ ❤ В НАЛИЧИИ❤ В НАЛИЧИИ❤ В НАЛИЧИИ❤|12
73|Добавляйся ко мне в ДругВокруг! 😉 ⭐⭐⭐⭐⭐ Лучший сервис для общения и поиска новых друзей - 30 млн. человек готовы общаться прямо сейчас! 👉|12
74|Ура, победа! Я победила сильную соперницу и делюсь с тобой своим обаянием!|12
75|Индиана кот|12
76|поделился(-лась) ответом с Ask.fm|12
77|Кто видит остальные отличия?|12
78|😊🎊🎉🎁Кисуля Моя😘!!!Я поздравляю тебя с твоим ДНЕМ РОЖДЕНИЯ🤗!!!!!Желаю тебе всего самого хорошего.💐🙃!!!Оставайся всегда такой же 😊Искренней ,😊Отзывчивой,😊Доброй и 😊Красивой...Всегда  меня ждешь домой и скучаешь😘как и я собственно жду с нетерпением встречи с тобой!!!Ты не когда не предашь и именно за эти твои качества Я Тебя Люблю!!!Мы давно  дружим ,ты стала  для  меня  еще  одним  родным человечком❤💋🌹👭🤘🏻 еще раз С ДНЕМ РОЖДЕНИЯ МОЯ ПОДРУЖКА!!!!!❤💋|11
79|это точно|11
80|💖В НАЛИЧИИ 💖В НАЛИЧИИ 💖В НАЛИЧИИ 💖В НАЛИЧИИ 💖|11
81|😍💕НОВИНОЧКА 😍💕НОВИНКА 😍💕НОВИНОЧКА 😍💕НОВИНКА|11
82|Давай играть в Кис Кис, тут весело!|11
83|❤❤❤ЛЮБИМАЯ КОЖА ❤❤❤ В НАЛИЧИИ 👍🏻|11
84|🌹🌹🌹Новинки 🌹🌹🌹  туфельки 😍  В НАЛИЧИИ👌🏻|11
85|❤❤❤ Крутые туфельки ❤❤❤  В НАЛИЧИИ 👍🏻|11
86|Задай мне вопрос|11
87|Покраска автомобиля, кузовной ремонт. Тел 89157900123|11
88|В наявності у м.Луцьк_маломір_40_ціна 200 грн🔥🔥🌿🌷|11
89|In stock/Skladem/В наличии 300kč.  Ultra slim Silicone/  Тонкий силикон#casesprague#praha#pouzdra#kryt#iphone#cases#чехлы#прага#kryty#5/5s/6/6+/6s/6s+ @ Jiřího z Poděbrad|11
90|лянте какой мне сайт попался jeybe.ru до чего ж технологии дошли, теперь буду за вами всеми следить^_^.|10
91|В НАЛИЧИИ 💖❤В НАЛИЧИИ 💖❤В НАЛИЧИИ 💖❤В НАЛИЧИИ❤💖|10
92|❤В НАЛИЧИИ❤В НАЛИЧИИ ❤В НАЛИЧИИ ❤В НАЛИЧИИ ❤|10
93|Чит на Аватарию   Накручиваем Золото|10
94|Для замовлення пишіть в пп🌷|10
95|Я победила в соревнованиях и перехожу в более крутую лигу!|10
96|Новый уровень!|10
97|🔥🔥🔥Любимая модель 🔥🔥🔥  Новый цвет ✅  В НАЛИЧИИ 😘|10
98|Шапочки з мохера по 300 грн 🎀👌  В'яжу на замовлення)    В сезон будуть дорожчі 🙈  P.S. Зима близько:)|10
99|Европейской качество по доступным ценам. Заказывайте)))))|10
100|Я прихлопнул 25 врагов за раз. Теперь меня зовут Непобедимым! А чего добился ты?|9
101|Завершение задания!Задание выполнено. Повод для гордости! Снимаю перед собой шляпу.|9
102|Я одержал очередную победу! Порадуйтесь или завидуйте мне.|9
103|Я и _Coca-Cola•° теперь приятели. Мы развиваем наши отношения чтобы получить доступ к новым возможностям.|9
104|РІЗДВЯНА АКЦІЯ!!! при разовій покупці на 400грн і більше знижка 10%!  Акція триває від сьогодні до Різдва! вибирайте подарунки собі та близьким! Дорогий якісний одяг по ринкових цінах сподобається не лише батькам - але й малюкам, що найважливіше!!! Гарного вам настрою, мої любі клієнти, та вдалих покупок!!! ^_^  З повагою, інтернет-магазин Хом'ячок! http://homyachok.com.ua/  доставка по місту Тернопіль безкоштовна від суми покупки 100грн в інші міста відправляю будь яким зручним для вас перевізником!|9
105|всем привет|9
106|❤❤❤Любимые Ботиночки ❤❤❤  В НАЛИЧИИ 👍🏻|9
107|"Фестиваль ""ЭТНОМОДА"" 2016. Фрагмент показа дизайнерской коллекции."|9
108|Задай мне вопрос   ask.fm/helen_mint|9
110|Задай мне вопрос   ask.fm/Alexsandr95|9
111|Смотри, у меня новый рекорд! Попробуй обгони!!|9
112|На своем месте #медали#кубки#bellydance# http://instagram.com/p/pW0NyOrv4S/|8
113|"27 и 28 мая, на сцене Театра "" Санктъ-Петебургъ Опера"" состоится премера оперы ФАУСТ."|8
114|Я получил бонус в игре «Бой с тенью»|8
115|"Премьера балета ""ОРР и ОРА""в Большом театре оперы и балета республики Беларусь 28 и 29 июня"|8
116|Друзья, ответьте на мой вопрос! :-)|8
117|"Я получил бонус в игре ""Бой с тенью"""|8
118|Я зарабатываю через интернет. Попробуй и ты!|8
119|"Фрагмент концерта ""Magia del Amor"". Театр ""Мюзик Холл"" 2014г.  Другие фото с концерта можно посмотреть на сайте:  fotomarat.com"|8
120|МАМОЧКИ!!!БРОНИРУЕМ ДОМИКИ ДАДА 395ГРН,ПОЛОВИНА 200ГРН!!получу памперсы в четверг-пятницу.|8
121|это точно!|8
122|Делаем старт международной компании более чем в 200 странах мира! https://www.youtube.com/watch?v=cTvFA2Afy5M http://comanda.st10.su/15 Встреча состоится в 14:00 и 19:30 Москвы. Просто займи бесплатно позицию http://Alexej.BAPowerline.com|8
123|Есть желание учится и зарабатывать в интернете !Сегодня 14 00 и 19 30 по мск прямой эфир.Выступает топ лидер 4 компаний Андрей Шауро http://comanda.st10.su/11 Просто займите бесплатно позицию.... http://Alexej.BAPowerline.com/ !!!|8
124|Присоединяйся и выживай вместе со мной в Free Fire!|8
126|Добавляйтесь))))Добавляйтесь))))|8
127|💐💐💐Новинка сандали 💐💐💐  В Наличии ❤  Очень красивые 😍😍😍|8
128|Ураааа......скоро на море=)).|8
129|395 грн  Жидкая матовая помада Kylie Birthday 😃|8
130|[club43879004 Шедевры кулинарии],|8
131|Всем привет!|7
132|❤❤❤НОВИНКА УЖЕ ПОЛУЧЕНА В НАЛИЧИЕ❤❤❤|7
133|Фрагмент балета «Ромео и Джульетта»  «Государственный балет на льду Санкт-Петербурга» на сцене Театра Мюзик Холл.|7
134|😍😍😍Шикарный комплект 😍😍😍    В НАЛИЧИИ 👍🏻|7
135|"Московский государственный академический театр танца ""ГЖЕЛЬ"" на сцене театра""Мюзик Холл"". Фрагмент концерта."|7
136|"""ТРИ МАСКИ КОРОЛЯ"" (Балет Юрия Смекалова)  Фрагмент премьеры на сцене Мариинского Театра.  #тримаскикороля #сатоб #балет #танец #мариинка #мариинскийтеатр #ballet #dance #satob #samaraballet #samaraopera  www.fotomarat.com"|7
137|На заказ.По 300рублей.|7
138|#фотосессия #красота #фотомодели #портрет #фотостудия  www.fotomarat.com|7
139|Сенсационная разработка учёных- сохранить здоровье, похудеть, избавиться от вредных привычек и оставаться в отличной физической форме. http://comanda.st10.su/8 Продукт нужен более семи миллиардов, займи лучшую позицию http://Alexej.BAPowerline.com бонус:http://www.youtube.com/watch?v=9KY8NCs0ejQ&list=U.. тренинг и презентации пройдут в 14 00 и 19 30 по (МСК) Skype:Alexej1076|7
140|Я и Krasotka теперь приятели. Мы развиваем наши отношения чтобы получить доступ к новым возможностям.|7
141|это точно)|7
143|Я на Спрашивай! Задай мне любой вопрос анонимно!|7
144|Подгузники взрослые размер с,м по дешевой цене|7
145|Вам нужны ПАРТНЕРЫ и КЛИЕНТЫ ? Хотите автоматизировать свой бизнес в интернете ? Сегодня в 14.00 и 19:30 МСК прямом эфир http://comanda.st10.su/7 + Комиссионные за рекомендации! + Поездки за границу! Самая лучшая позиция в моей первой линии + бонусы! Просто займи бесплатно позицию в Brain Abundance http://Alexej.BAPowerline.com/ !|7
146|🦋🌸🦋БОЛЬШОЙ ВЫБОР НАТУРАЛЬНОЙ ОБУВИ В НАЛИЧИИ🦋🌸🦋|7
147|👠👠👠 Шикарные туфельки 👠👠👠    В НАЛИЧИИ!|7
148|❤❤❤НОВИНКИ ❤❤❤  Супер кроссовки 😍😍😍  В НАЛИЧИИ ✅|7
149|🤗🤗🤗 НОВИНКА ВЕНГРИИ 🤗🤗🤗|7
150|Нашелся классный сайт, через который можно читать смс и смотреть звонки ЛЮБОГО мобильного телефона! Не даём себя обманывать! Ссылка http://vkontrole.net ,работает всё отлично!!|7
151|🔥🔥🔥Шикарный комплект 🔥🔥🔥    В НАЛИЧИИ 😘👏🏻|7
152|Я повысил уровень самолёта!|7
153|Мой день рождения!!!|7
154|Привет,     я только что скачал(-а) приложение WhatsApp на свой Android.     Это приложение заменяет SMS. С помощью него я могу отправлять фото, видео и другие медиафайлы!     Приложение WhatsApp доступно для Android, iPhone, Nokia, Windows Phone и BlackBerry. Здесь нет логинов и паролей: приложение работает по принципу SMS, однако для его использования необходим доступ в Интернет.     Скачай приложение с  и попрощайся с SMS.|7
155|Всем спок ночи)|7
156|❤❤❤Любимые ботиночки ❤❤❤    В НАЛИЧИИ 👯|7
157|с днём рождения Стас!)))веселье приносит нам вкус бодрящий))Праздник вкуса всегда настоящий!))) .|7
158|Трагедия белок|7
159|[id44103229 Светлана], Моя цель жизни,что бы ты ответила за всё!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!|7
